created_at,text,screen_name,source,location,followers_count,friends_count,retweet_count,favourite_count,language,sentiment_polarity
(['Fri Jun 24 11:28:28 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'YoussefSherifS4'," '""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>""'", '', '18', '974', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:29 +0000 2022'," ""b'Just look at Griezmann'""", 'charleschikezie'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Nigeria', '616', '1102', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:29 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'RastaMan_17'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'En tu mente...', '918', '718', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:30 +0000 2022'," ""b'RT @goal: HAPPY 35TH BIRTHDAY TO LIONEL MESSI  https://t.co/M4xN2YdhTX'""", 'AhmedElshikhe8'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '407', '376', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:30 +0000 2022'," ""b'RT @footbalmesi: Lionel Messi 18/19:\\n\\n- Most goals in Europe\\n- Most goals in UCL\\n- Most MOTM awards\\n- Most assists in La Liga\\n- Most G/A co'""", 'Ivar__trx'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Kattegat', '1570', '555', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:31 +0000 2022'," ""b'RT @goal: HAPPY 35TH BIRTHDAY TO LIONEL MESSI  https://t.co/M4xN2YdhTX'""", 'badru_yahya'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '22', '560', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:32 +0000 2022'," ""b'RT @goal: HAPPY 35TH BIRTHDAY TO LIONEL MESSI  https://t.co/M4xN2YdhTX'""", 'A_Geroux'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '47', '163', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:33 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'kwuo14'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Ghana', '660', '3750', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:34 +0000 2022'," '""b""""RT @59748messiani: yi ki dodun Lionel Messi.\\n\\n 974 Ma \\n 769 Gol\\n 331 Asist\\n\\n 7 Ballon d\'Or \\n 6 Altn ayakkab \\n 40 Kupa \\n\\nBir n""""""'", 'Yunusdaal13'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Fenerbahçe', '265', '326', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:35 +0000 2022'," '""b""""RT @lnstantFoot: Joyeux anniversaire au meilleur joueur de l\'histoire du football : Lionel Messi fte aujourd\'hui ses 35 ans !  https:/""""""'", 'BaderMaftah'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'marocain ✨', '785', '643', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:35 +0000 2022'," ""b'RT @goal: HAPPY 35TH BIRTHDAY TO LIONEL MESSI  https://t.co/M4xN2YdhTX'""", 'Alanvickyturere'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '25', '65', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:35 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'lacunzapablo'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'Argentina', '47', '403', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:36 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'Hernandez32445'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '131', '281', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:36 +0000 2022'," '""b""""RT @ESPNFC: Lionel Messi turns 35 today.\\n\\nThe man was born to win Ballon d\'Ors  https://t.co/UeYnWRCnr1""""""'", 'jumbez_jack'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Nairobi ', '111', '164', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:38 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'AbdelAzxiz'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", 'United Arab Emirates', '94', '87', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:38 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'Norbert60976479'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '1288', '4621', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:39 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'hama_salar1'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'music cafe', '1653', '643', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:39 +0000 2022'," ""b'RT @LyesBouzidi10: Lionel Messi - The Story\\n\\nPart of The Journey is The End\\n\\n https://t.co/jYkdNY2DZM'""", 'Samar_Anand_4'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Anantapur - Bangalore', '195', '337', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:39 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'himanidewitt'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '406', '583', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:39 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'jumbez_jack'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Nairobi ', '111', '164', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:39 +0000 2022'," ""b'RT @Naija_PR: World Lionel Messi Day \\n\\nHappy Birthday Idan gangan  https://t.co/FV6Bw0JcRt'""", 'supereno0022'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '287', '1246', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:40 +0000 2022'," ""b'RT @PortalMessi: 35 anos do melhor jogador da histria. 35 anos de Lionel Messi. \\n\\n#Messi35 https://t.co/je8ucDrXeH'""", 'rui_silva12344'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Paredes', '56', '213', '', '', ''], 'Neutral')
(['Fri Jun 24 11:28:41 +0000 2022'," ""b'Benzema 10 5*gt et hop on fini fifa'""", 'haychmaych12'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '12', '59', '', '', ''], 'Neutral')
